bench_id,month,hour,shade_frac
11435810926,3,7,0.0000
11435810927,3,7,0.0000
11435810928,3,7,0.0000
11435810929,3,7,0.0000
11435810930,3,7,0.0000
11435810931,3,7,0.0000
11435811010,3,7,0.0000
11435811011,3,7,0.0000
11435811013,3,7,0.0000
11435811014,3,7,0.0000
11435811015,3,7,0.0000
11435811020,3,7,0.0000
11435811021,3,7,0.0000
11435811022,3,7,0.0000
11435989729,3,7,0.0000
11435989730,3,7,0.0000
11435989739,3,7,1.0000
11435989740,3,7,1.0000
11435989741,3,7,1.0000
11435989742,3,7,1.0000
11435989743,3,7,1.0000
11435989744,3,7,1.0000
11435989746,3,7,1.0000
11435989747,3,7,0.0000
11435989748,3,7,0.0000
11435989749,3,7,0.0000
11435989750,3,7,0.0000
11435989751,3,7,0.0000
11435996877,3,7,0.0000
11435996878,3,7,0.0000
11435996879,3,7,0.0000
11435996880,3,7,1.0000
11435996881,3,7,1.0000
11435996882,3,7,1.0000
11435996884,3,7,1.0000
11435996885,3,7,1.0000
11435996886,3,7,1.0000
11435996911,3,7,0.0000
11435996912,3,7,0.0000
11435996913,3,7,0.0000
11435996914,3,7,0.0000
11435996915,3,7,0.0000
11435996916,3,7,0.0000
11435996917,3,7,0.0000
11435996918,3,7,0.0000
11435996919,3,7,0.0000
11435996920,3,7,0.0000
11435996921,3,7,0.0000
11435996922,3,7,0.0000
11435996923,3,7,0.0000
11435996924,3,7,0.0000
11435996925,3,7,0.0000
11435996926,3,7,0.0000
11435996927,3,7,0.0000
11435996928,3,7,0.0000
11435996929,3,7,0.0000
11435996930,3,7,0.0000
11435996931,3,7,0.0000
11435996932,3,7,0.0000
11435996933,3,7,0.0000
11435996934,3,7,0.0000
11435996935,3,7,0.0000
11435996936,3,7,0.0000
11435996937,3,7,0.0000
11435996938,3,7,0.0000
11435996939,3,7,0.0000
11435996940,3,7,0.0000
11435996941,3,7,0.0000
11435996942,3,7,0.0000
11435996943,3,7,0.0000
11435996944,3,7,0.0000
11435996959,3,7,0.0000
11435996960,3,7,0.0000
11435996961,3,7,0.0000
11435996962,3,7,0.0000
11435996969,3,7,0.0000
11435996970,3,7,0.0000
11435996971,3,7,0.0000
11435996972,3,7,0.0000
11435996973,3,7,0.0000
11435996974,3,7,0.0000
11435996975,3,7,0.0000
11435996976,3,7,0.0000
11435997020,3,7,0.0000
11435997021,3,7,0.0000
11435997022,3,7,0.0000
11435997023,3,7,0.0000
11435997024,3,7,0.0000
11435997046,3,7,0.0000
11435997047,3,7,0.0000
11435997048,3,7,0.0000
11435997049,3,7,0.0000
11435997050,3,7,0.0000
11435997051,3,7,0.0000
11435997052,3,7,0.0000
11435997053,3,7,0.0000
11435997054,3,7,0.0000
11435997055,3,7,0.0000
11435997058,3,7,0.0000
11435997059,3,7,0.0000
11435997060,3,7,0.0000
11435997061,3,7,0.0000
11435997062,3,7,0.0000
11435997063,3,7,0.0000
11435997064,3,7,0.0000
